iter	Passed	Remaining
681	10101	4709
682	10110	4692
683	10122	4676
684	10133	4660
685	10147	4644
686	10156	4627
687	10163	4609
688	10167	4589
689	10174	4571
690	10184	4554
691	10196	4538
692	10206	4521
693	10233	4512
694	10244	4495
695	10255	4479
696	10266	4462
697	10281	4448
698	10293	4432
699	10301	4414
700	10312	4398
701	10321	4381
702	10340	4368
703	10351	4352
704	10359	4334
705	10371	4318
706	10380	4301
707	10389	4284
708	10397	4267
709	10412	4252
710	10421	4236
711	10438	4222
712	10456	4209
713	10465	4192
714	10475	4175
715	10485	4158
716	10491	4141
717	10503	4125
718	10527	4114
719	10555	4105
720	10564	4087
721	10573	4071
722	10588	4056
723	10601	4041
724	10621	4028
725	10635	4014
726	10651	3999
727	10667	3985
728	10711	3982
729	10741	3973
730	10761	3960
731	10770	3943
732	10784	3928
733	10797	3913
734	10816	3899
735	10833	3885
736	10845	3870
737	10857	3854
738	10877	3841
739	10890	3826
740	10901	3810
741	10915	3795
742	10923	3778
743	10933	3761
744	10943	3745
745	10953	3729
746	10963	3713
747	10977	3698
748	10998	3685
749	11011	3670
750	11020	3653
751	11027	3636
752	11039	3621
753	11046	3604
754	11059	3588
755	11066	3571
756	11074	3555
757	11082	3538
758	11093	3522
759	11104	3506
760	11113	3490
761	11125	3475
762	11140	3460
763	11150	3444
764	11158	3427
765	11170	3412
766	11180	3396
767	11189	3380
768	11200	3364
769	11209	3348
770	11217	3331
771	11225	3315
772	11238	3300
773	11247	3284
774	11254	3267
775	11266	3252
776	11272	3235
777	11279	3218
778	11285	3201
779	11294	3185
780	11308	3171
781	11317	3154
782	11325	3138
783	11351	3127
784	11378	3116
785	11389	3100
786	11411	3088
787	11427	3074
788	11432	3057
789	11445	3042
790	11455	3026
791	11462	3010
792	11472	2994
793	11479	2978
794	11496	2964
795	11505	2948
796	11511	2932
797	11521	2916
798	11528	2900
799	11542	2885
800	11558	2871
801	11569	2856
802	11578	2840
803	11588	2825
804	11600	2810
805	11608	2794
806	11621	2779
807	11630	2763
808	11639	2748
809	11649	2732
810	11657	2716
811	11667	2701
812	11686	2688
813	11697	2672
814	11706	2657
815	11720	2642
816	11728	2627
817	11746	2613
818	11754	2597
819	11763	2582
820	11771	2566
821	11780	2551
822	11784	2534
